PMID,Disease
36791022,breast cancer
36791022,mdms
36791022,breast cancer mdms
36790946,breast cancer
36790946,cancer deaths
36790946,cancer
36790946,tumor
36790934,cancer
36790882,breast cancer
36790882,cancer
36790882,tumor
36790871,breast cancer
36790871,tumor
36790871,glucose metabolism
36790732,breast cancer
36790676,glioma
36790676,liver cancer
36790676,breast cancer
36790676,tumor metastasis
36790676,cancer
36790676,liver hepatocellular carcinoma
36790676,tumor
36790676,carcinoma
36790676,paracancerous
36790676,retards
36790603,lung cancer
36790603,cancer death
36790603,lung adenocarcinoma
36790603,osimertinib and abemaciclib in lung cancer
36790582,leukemia and breast cancer
36790582,breast cancer
36790573,oligometastatic breast cancers
36790573,oligometastatic breast cancer
36790573,metachronous metastatic breast cancer
36790573,mbc
36790573,metastases
36790573,visceral metastases
36790533,pigmentation
36790533,dyschromatosis universalis hereditaria
36790533,pigmentary genodermatosis
36790533,hyperpigmented and hypopigmented
36790533,melanoma
36790533,hypopigmented
36790533,hyperpigmentation
36790533,hypopigmentation
36790512,obesity
36790512,breast cancer
36790512,breast carcinogenesis
36790512,tumors
36790479,breast cancer
36790479,tumoral
36790479,tumor
36790445,cancer
36790445,sphingomyelin nanosystems
36790445,tumour
36790445,breast cancer
36790360,cha
36790360,breast cancer
36790360,cancer
36790346,tumours
36790346,thyroid neoplasms
36790346,squamous cell carcinoma
36790346,carcinoma of the breast
36790346,renal cell carcinoma
36790346,neuroendocrine carcinoma of the lung
36790346,carcinoma stomach
36790346,malignant melanoma and squamous cell carcinoma
36790346,thyroid carcinoma
36790346,malignancy
36790286,neoplastic lesions
36790286,breast cancer
36790286,ductal carcinomas
36790286,carcinogenic
36790070,cancer
36790070,cancers
36790070,mortality
36790070,malignancies
36790070,pancreatic
36790070,colorectal
36790070,prostate cancer
36790070,malignant melanoma
36790070,non-hodgkin lymphoma
36790070,acute leukemia
36790026,breast cancer
36789976,breast cancer
36789976,breast lesions
36789976,malignancies
36789894,breast cancer
36789830,breast cancer
36789760,ovarian cancer
36789760,korean epithelial ovarian cancer
36789760,clc
36789760,breast cancer
36789760,carcinogenic
36789739,breast cancer
36789739,invasive cancer
36789739,cancer
36789739,breast cancers
36789739,i-iii breast cancer
36789739,contralateral breast cancers
36789739,er-negative disease
36789739,er-positive cancers
36789689,colorectal cancer
36789689,malignant tumor
36789689,mortality
36789689,breast cancer
36789689,arrest
36789554,breast cancer
36789554,metastases
36789212,breast abnormality
36789212,breast lesion
36789212,anxiety
36789212,breast cancer
36789133,breast cancer
36789133,tumor
36789118,lymphoblastic leukemia
36789118,acute lymphoblastic leukemia
36789118,malignancies
36788982,cancer
36788982,diabetes
36788982,pancreas and prostate cancer
36788982,cancers
36788889,colorectal cancer
36788889,crc
36788889,cancer
36788889,breast cancer
36788889,tumor
36788687,breast adenocarcinoma
36788687,cancer
36788683,breast cancer
36788681,breast cancer
36788602,ulcwgs
36788602,breast cancer
36788595,breast lesions
36788595,breast cancer
36788595,breast malignancy before tumor
36788595,breast malignancies
36788595,breast lesion malignancy
36788408,breast cancer
36788408,fibrosis
36788408,cancers
36788408,colorectal cancers
36788408,carcinogenesis
36788391,breast cancer
36788391,tumour
36788310,angiosarcoma xenograft
36788310,angiosarcomas
36788310,malignancies
36788310,tumors
36788310,angiosarcoma of the breast
36788310,tumor
36788297,parkinson's disease
36788297,cancers
36788297,pd
36788297,thyroid cancer
36788297,parkinson disease
36788297,melanoma
36788297,breast cancer
36788297,prostate cancer
36788297,cancer
36788297,lung cancer
36788297,ovarian cancer
36788297,cancer gwass
36788297,pd and ovarian cancer
36788297,movement disorders
36788297,parkinson and movement disorder
36788122,invasive cancer
36788122,tumor
36788122,invasive breast cancer
36788122,ductal carcinoma
36788122,benign disease
36788122,cancer
36788122,breast cancer
36788122,invasive ductal carcinoma
36788122,invasive lobular carcinoma
36788122,tnbc
36788100,breast cancer
36788100,her2-low breast cancer
36788100,tumors
36788100,duct carcinoma
36788100,breast cancers
36788098,cancers
36788098,"breast, ovarian, endometrial"
36788098,pancreatic
36788098,prostate cancers
36788098,cancer
36788098,deficiency
36788098,hrd
36788086,her2-low breast cancer
36788086,breast cancer
36788086,tumors
36788086,her2-low tumors
36788086,tumor
36788082,sebaceous tumors
36788082,skin adnexal neoplasms
36788082,tumors
36788082,cutaneous neoplasms
36788082,squamous cell carcinomas
36788082,carcinomas
36788082,skin metastases
36788082,metastases
36788082,breast or lung cancers
36788081,luminal breast cancer
36788081,tumors
36788081,tumor
36788078,breast cancers
36788078,breast cancer
36788078,tnbc tumors
36788078,tumors
36788078,tnbc tumor
36788075,invasive lobular carcinoma
36788073,endometrial carcinomas
36788073,ovarian cancer
36788073,ovarian tumors
36788073,tumors
36788073,carcinomas
36788073,malignant melanoma
36788073,angiosarcomas
36788073,ovarian and endometrial tumors
36788073,tumor
36788073,thyroid tumors
36788073,serous carcinoma
36788073,clear cell carcinoma
36788073,endometrioid carcinoma
36788073,mucinous carcinoma
36788073,sex cord stromal tumors
36788073,ovarian nonmucinous carcinomas and endometrial carcinomas
36788073,ovarian germ cell tumors
36788069,breast cancers
36788069,breast cancer
36788064,breast cancer
36787951,breast cancer
36787951,fascial plane block
36787951,unilateral breast cancer
36787951,toxicity
36787933,vulvar cancer
36787933,cancer
36787933,tumor
36787933,tumors
36787933,squamous cell vulvar cancer
36787921,mortality
36787921,coronavirus disease 19
36787921,covid-19
36787921,systemic lupus erythematosus
36787921,sle
36787921,sle disease
